,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,04:00,"The Toys",80608,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
2,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,78578,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
3,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",73620,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
4,"Bad Boy","Red Velvet",67212,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
5,TOY,"The Toys",64613,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
6,Havana,"Camila Cabello",61249,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
7,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,58131,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
8,"Pray For Me (with Kendrick Lamar)","The Weeknd",54524,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
9,IDGAF,"Dua Lipa",54448,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
10,"The Middle",Zedd,54404,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
11,"Never Be the Same","Camila Cabello",52578,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
12,"All The Stars (with SZA)","Kendrick Lamar",52361,https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY
13,Wolves,"Selena Gomez",50684,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
14,ผู้ช่วยที่ดีที่สุด,Polycat,49626,https://open.spotify.com/track/6dZzTJXuTR2WWtGOvHutOU
15,"พริบตา x STAMP","Bird Thongchai",49312,https://open.spotify.com/track/20Tl8mWZhryG75y3nqnlKE
16,อย่าบอก,"Atom Chanakan",47132,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
17,"God's Plan",Drake,44341,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
18,Perfect,"Ed Sheeran",42323,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
19,"Good Morning Teacher","Atom Chanakan",42038,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
20,ถอย,Gliss,41542,https://open.spotify.com/track/3nJlzw6Gn33fitnoxJtLSj
21,"What Lovers Do (feat. SZA)","Maroon 5",41202,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
22,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",41153,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
23,"Paris in the Rain",Lauv,38765,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
24,"Too Good At Goodbyes","Sam Smith",37512,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
25,วีนัส,B5,37261,https://open.spotify.com/track/35vsbmsh8xVfbTLKQHKEI3
26,"นี่แหละความรัก (This is Love)","Peck Palitchoke",36666,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
27,"New Rules","Dua Lipa",35471,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
28,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",34487,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
29,"LOVE SCENARIO",iKON,34359,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
30,"River (feat. Ed Sheeran)",Eminem,34193,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
31,"Him & I (with Halsey)",G-Eazy,34079,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
32,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",33647,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
33,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",33186,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
34,"Capital Letters","Hailee Steinfeld",33158,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
35,"Sick Boy","The Chainsmokers",33045,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
36,"All Falls Down (feat. Juliander)","Alan Walker",33036,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
37,รักตัวเอง,"Room 39",32798,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
38,Mine,Bazzi,32621,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
39,Thunder,"Imagine Dragons",32524,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
40,"Galaxy (feat. Kob The X Factor)","D Gerrard",32000,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
41,"How Long","Charlie Puth",30728,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
42,ถอนหายใจ,Mild,29767,https://open.spotify.com/track/1rve7sIFz7JVxwfrisKyP3
43,พอ,"Atom Chanakan",29730,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
44,หน้าหนาวที่แล้ว,"The Toys",27948,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
45,"I Miss You (feat. Julia Michaels)","Clean Bandit",27845,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
46,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",27823,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
47,Naked,"James Arthur",27386,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
48,Attention,"Charlie Puth",26830,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
49,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,26111,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
50,ฝืนตัวเองไม่เป็น,"Non Tanon",26059,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
51,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",25250,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
52,"Shape of You","Ed Sheeran",24169,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
53,โลกที่ไม่มีเธอ,PORTRAIT,24048,https://open.spotify.com/track/0fSl800MbFmlLs1aUxx7Z2
54,"Young Dumb & Broke",Khalid,23438,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
55,Anywhere,"Rita Ora",23080,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
56,เป็นทุกอย่าง,"Room 39",23076,https://open.spotify.com/track/54BVTgTpCjK8cRhTFDjHNK
57,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",22749,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
58,FRIENDS,Marshmello,22641,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
59,"ฝัง (ใน) ใจ",ETC.,22183,https://open.spotify.com/track/2sO402csNLrYEpiJXlZUCD
60,ฉันก็ยังจะบอกรักเธอ,Nann,22036,https://open.spotify.com/track/031ODm9IrRkQDzzQy7EPHp
61,"Something Just Like This","The Chainsmokers",21741,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
62,"Bad Luck",Lipta,21476,https://open.spotify.com/track/6KtTbMttJ8ZtMG6VMds2B2
63,ยังคิดถึง...(Same),"Marc Tatchapon",21371,https://open.spotify.com/track/1OlInnJssr9pXY0Ooa0SDT
