1,"In My Feelings",Drake,144169,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,121490,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
3,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",112294,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
4,หมอกร้าย,Lipta,103585,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
5,ภาพจำ,"Pop Pongkool",96049,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
6,วิชาตัวเบา,Bodyslam,90937,https://open.spotify.com/track/2j2NeZZJ0STZQy5Aw3oZLL
7,มีผลต่อหัวใจ,"Non Tanon",89980,https://open.spotify.com/track/6LxsOkPSGBOsPhDKFAgYVM
8,"Girls Like You (feat. Cardi B)","Maroon 5",88445,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
9,ถ้าเธอต้องเลือก,Illslick,84922,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
10,นอนได้แล้ว,"Fukking Hero",81628,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
11,"God is a woman","Ariana Grande",78403,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
12,"Good Luck feat. Maiyarap",Lipta,78372,https://open.spotify.com/track/3tMbwbZpYXGHeg0l45m7Tv
13,คนที่ไม่ใช่,O-Pavee,77661,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
14,ขอโทษ,"Burin Boonvisut",77112,https://open.spotify.com/track/6sCQmOY5k4BcjONYyVccaz
15,"FOREVER YOUNG - KR Ver.",BLACKPINK,75469,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
16,"Good Morning Teacher","Atom Chanakan",75364,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
17,"Day 1 ◑",HONNE,72909,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
18,กำลังจะ,Illslick,71049,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
19,ถ้าฉันหายไป(Skyline),"Earth Patravee",65921,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
20,"Eastside (with Halsey & Khalid)","benny blanco",62342,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
21,"Thru These Tears",LANY,60092,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
22,Rise,"Jonas Blue",59730,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
23,พอจะรู้,meyou.,59177,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
24,"Galaxy (feat. Kob The X Factor)","D Gerrard",59064,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
25,2002,Anne-Marie,56443,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
26,ไม่ตอบ,UrboyTJ,54920,https://open.spotify.com/track/2MezCXpLYYWcShseflM6NB
27,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",54528,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
28,แอบบอกรัก,Jaonaay,54439,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
29,หากวันนั้น,"Room 39",53372,https://open.spotify.com/track/4hy03eg0PksOEJraNfqb1O
30,"Aow La Woii","Twopee Southside",52174,https://open.spotify.com/track/5CVG6LsBNhEkDpVzXOaqMq
31,"No Brainer","DJ Khaled",51097,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
32,ฟัง,SIN,50984,https://open.spotify.com/track/6RjwqDSAllo8d9EfDEK5IV
33,Escape,"Moving and Cut",50066,https://open.spotify.com/track/3QNcZFnVawSjecRnWDd15O
34,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",48022,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
35,"I'm Ok","Peck Palitchoke",47943,https://open.spotify.com/track/5tW7B5huLVxffQAHEZ3lCO
36,"Alarms (สวัสดีวันจันทร์)",F.HERO,47734,https://open.spotify.com/track/6VZLmgi2TRRFzxHvbMF0ns
37,"Bye Bye",P-Hot,47378,https://open.spotify.com/track/08oX4H0Td1Fza9eBXzmojN
38,จูบ,Illslick,47311,https://open.spotify.com/track/6RvSPE7NJCkzSrc7rn5OOC
39,ไม่มีเธอไม่ตาย,"Gam Wichayanee",46214,https://open.spotify.com/track/6mUclBcqOp65gflMeu2UWR
40,"REALLY - KR Ver.",BLACKPINK,45280,https://open.spotify.com/track/7AWtaOSb7cgi16wJr3mkuf
41,04:00,"The Toys",44002,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
42,"กลั้นใจ (feat. F.HERO)",Wonderframe,43647,https://open.spotify.com/track/7ko8b14t80QKo8kFePQJsI
43,"LOVE SCENARIO",iKON,43597,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
44,"Solo (feat. Demi Lovato)","Clean Bandit",42595,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
45,ผิดที่ฉัน,60Miles,42429,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
46,ฝันหวานอายจูบ,Stamp,42185,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv
47,"Ocean (feat. Khalid)","Martin Garrix",42166,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
48,เท่าไหร่ไม่จำ,Potato,40235,https://open.spotify.com/track/5zRMhQ21pWGN0rPxAS4QkI
