1,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,113316,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
2,04:00,"The Toys",87751,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
3,TOY,"The Toys",82770,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
4,Havana,"Camila Cabello",69766,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
5,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",68658,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
6,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,65234,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
7,IDGAF,"Dua Lipa",56937,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
8,Wolves,"Selena Gomez",56608,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
9,"Never Be the Same","Camila Cabello",56599,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
10,"Bad Boy","Red Velvet",55075,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
11,"พริบตา x STAMP","Bird Thongchai",53887,https://open.spotify.com/track/4teedU9O1HNw0jMR1VzNev
12,Perfect,"Ed Sheeran",53017,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
13,อย่าบอก,"Atom Chanakan",51923,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
14,"Good Morning Teacher","Atom Chanakan",47440,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
15,"What Lovers Do (feat. SZA)","Maroon 5",47120,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
16,ถอย,Gliss,47061,https://open.spotify.com/track/3nJlzw6Gn33fitnoxJtLSj
17,"นี่แหละความรัก (This is Love)","Peck Palitchoke",44078,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
18,"Too Good At Goodbyes","Sam Smith",42505,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
19,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",41543,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
20,"New Rules","Dua Lipa",40926,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
21,แม่เกี่ยว,Palmy,40514,https://open.spotify.com/track/737lmpUScW6xckYagTWacT
22,"Him & I (with Halsey)",G-Eazy,40352,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
23,"River (feat. Ed Sheeran)",Eminem,39397,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
24,"Paris in the Rain",Lauv,39357,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
25,Thunder,"Imagine Dragons",39267,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
26,"How Long","Charlie Puth",39203,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
27,"LOVE SCENARIO",iKON,38611,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
28,"Shape of You","Ed Sheeran",38610,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
29,"Sick Boy","The Chainsmokers",37873,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
30,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",37503,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
31,"God's Plan",Drake,37039,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
32,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",36234,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
33,รักตัวเอง,"Room 39",35744,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
34,"The Middle",Zedd,35491,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
35,พอ,"Atom Chanakan",33966,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
36,"All Falls Down (feat. Juliander)","Alan Walker",33739,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
37,"My My My!","Troye Sivan",32882,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO
38,"All The Stars (with SZA)","Kendrick Lamar",32218,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
39,"Galaxy (feat. Kob The X Factor)","D Gerrard",31542,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
40,ถอนหายใจ,Mild,31540,https://open.spotify.com/track/1rve7sIFz7JVxwfrisKyP3
41,หน้าหนาวที่แล้ว,"The Toys",29888,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
42,"Young Dumb & Broke",Khalid,29616,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
43,Anywhere,"Rita Ora",29414,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
44,Attention,"Charlie Puth",27808,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
45,"I Miss You (feat. Julia Michaels)","Clean Bandit",27519,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
46,"Rewrite The Stars","Zac Efron",27495,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
47,"Something Just Like This","The Chainsmokers",27178,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
48,"Let You Down",NF,27047,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
49,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",27033,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
50,"ชีวิตเดี่ยว x Getsunova","Bird Thongchai",26398,https://open.spotify.com/track/0fBkUQkG6Kc8ig6aF12ofF
51,ฝืนตัวเองไม่เป็น,"Non Tanon",25715,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
52,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",25457,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
53,Naked,"James Arthur",24960,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
54,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",23480,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
55,rockstar,"Post Malone",23038,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
56,เป็นทุกอย่าง,"Room 39",23035,https://open.spotify.com/track/54BVTgTpCjK8cRhTFDjHNK
57,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",22959,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
58,"There for You","Martin Garrix",22789,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
59,"ฝัง (ใน) ใจ",ETC.,22786,https://open.spotify.com/track/2sO402csNLrYEpiJXlZUCD
60,"Bad Luck",Lipta,22529,https://open.spotify.com/track/6KtTbMttJ8ZtMG6VMds2B2
61,โลกที่ไม่มีเธอ,PORTRAIT,22286,https://open.spotify.com/track/0fSl800MbFmlLs1aUxx7Z2
62,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",21799,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
63,1-800-273-8255,Logic,21511,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
64,"Say Something","Justin Timberlake",21371,https://open.spotify.com/track/09ts3GnICqYEU5PkQCpJK3
65,"Look What You Made Me Do","Taylor Swift",21230,https://open.spotify.com/track/5troof8mcGO3AafoDbk1gc
66,"There's Nothing Holdin' Me Back","Shawn Mendes",21095,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
67,"Capital Letters","Hailee Steinfeld",20998,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
68,เจ็บจนไม่เข้าใจ,PORTRAIT,20940,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
69,ยังคิดถึง...(Same),"Marc Tatchapon",20856,https://open.spotify.com/track/1OlInnJssr9pXY0Ooa0SDT
70,จดหมาย,"The Toys",20477,https://open.spotify.com/track/2wgGM5bNyPTVI2d7KHmmRw
71,"ผู้ต้องหา x Labanoon","Bird Thongchai",20469,https://open.spotify.com/track/4LU78qFBH7vxYIhncaLXHe
72,"Symphony (feat. Zara Larsson)","Clean Bandit",19786,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
73,เรื่องที่ขอ,Lula,19658,https://open.spotify.com/track/6ZDl7YLiNjey9VOdEM3pok
74,"Strip That Down","Liam Payne",19633,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
75,"I Like Me Better",Lauv,18748,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
76,ครั้งหนึ่งไม่ถึงตาย,KLEAR,18360,https://open.spotify.com/track/1H0gOyCNo1NKWFmM8VMIeN
77,Wait,"Maroon 5",18149,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59
78,ก่อนฤดูฝน,"The Toys",18113,https://open.spotify.com/track/1oyYuiIundjUzgi0oyBNyB
79,"Dusk Till Dawn - Radio Edit",ZAYN,18063,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
80,Silence,Marshmello,18058,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
81,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",17954,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
82,สารภาพ,Playground,17655,https://open.spotify.com/track/4Gjl7Z9S2LZEnWLeqQh67K
83,"Galway Girl","Ed Sheeran",17533,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
84,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,17457,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
85,"Super Far",LANY,17188,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E
86,"End Game","Taylor Swift",17160,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX
87,"피카부 Peek-A-Boo","Red Velvet",17032,https://open.spotify.com/track/42tFTth2jcF7iSo0RBjfJF
88,Mama,"Jonas Blue",16866,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
89,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",16629,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
90,บทสุดท้าย,"BANKK CA$H",16363,https://open.spotify.com/track/0xpkfml0e404bgSA0C9U2T
91,เก็บรักคืนมา,"TOR+ Saksit",16189,https://open.spotify.com/track/5dIISYlJRzSeU8BhmiQJjl
92,"As If It's Your Last",BLACKPINK,16165,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
